"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-26","    0","    0",,," 1206","0.00",,"0.0","0.0",,"67","45",,"   90",,,"  135",,"16.1",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-27","   10","    0",,," 1606","0.00",,"0.0","0.0",,"81","46",,"  180",,,"  180",,"21.0",,,"28.9",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-28","   90","  100",,," 1606","0.00",,"0.0","0.0",,"72","50",,"  170",,,"  180",,"23.0",,,"35.6",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-29","   90","  100",,," 1130","0.00",,"0.0","0.0",,"66","55",,"   10",,,"  360",,"19.9",,,"25.3","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-30","  100","  100",,," 1318","0.13",,"0.0","0.0",,"74","51",,"  290",,,"  180",,"17.0",,,"24.2","    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-31","  100","  100",,," 0642","2.39",,"0.0","0.0",,"54","44",,"  360",,,"  315",,"16.1",,,"26.4","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-01","  100","  100",,," 1124","2.03",,"0.0","0.0",,"46","43",,"  350",,,"  360",,"16.1",,,"21.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-02","  100","  100",,," 1300","0.25",,"0.0","0.0",,"47","43",,"   20",,,"   45",,"16.1",,,"20.8","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-03","  100","  100",,," 2012","0.16",,"0.0","0.0",,"49","44",,"  130",,,"  135",,"12.1",,,"17.2","    1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-04","  100","  100",,," 2124","0.20",,"0.0","0.0",,"54","46",,"  280",,,"  315",,"38.9",,,"41.4","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
